Country,Country Code,People using  safely managed drinking water services  % of population 2017,People using  safely managed sanitation services  % of population 2017,Access to electricity  % of population 2017,Renewable energy consumption  % of total final energy consumption 2015,Expenditures for R&D  % of GDP 2015,Urban population living in slums  % of urban population 2014,Ambient PM2.5 air pollution mean annual exposure micrograms per cubic meter 2016,Adjusted net savings  % of GNI 2017,Carbon dioxide emissions per capita metric tons 2014,Nationally protected terrestrial and marine areas  % of total territorial area 2018,"Intentional homicides Combined source estimates per 100,000 people 2015",Internet use Individuals using the Internet % of population 2017
Sint Maarten (Dutch part),SXM,NA,NA,100,0,NA,NA,NA,NA,19.5,8.1,NA,NA
Slovak Republic,SVK,99.8,82.5,100,13.4,1.2,NA,17.4,5.6,5.7,37.6,0.8,81.6
Slovenia,SVN,98.1,83,100,20.9,2.2,NA,15.9,10.1,6.2,55.1,1,78.9
Solomon Islands,SLB,NA,NA,62.9,63.3,NA,NA,11.8,NA,0.3,0.2,NA,11.9
Somalia,SOM,NA,NA,32.9,94.3,NA,73.6,31.8,NA,0,0.8,NA,2
South Africa,ZAF,NA,NA,84.4,17.2,0.8,23,25.1,0.6,9,10.3,33.8,56.2
South Sudan,SSD,NA,NA,25.4,39.1,NA,95.6,44.8,NA,0.1,15.5,13.9,8
Spain,ESP,98.4,96.6,100,16.3,1.2,NA,9.7,9.1,5,15,0.7,84.6
Sri Lanka,LKA,NA,NA,97.5,52.9,0.1,NA,14,28.5,0.9,3.4,2.4,34.1
St. Kitts and Nevis,KNA,NA,NA,100,1.6,NA,NA,NA,NA,4.5,0.3,34.2,80.7
St. Lucia,LCA,NA,NA,98.8,2.1,NA,NA,22.4,-2.3,2.3,0.9,15.8,50.8
St. Martin (French part),MAF,NA,NA,100,NA,NA,NA,NA,NA,NA,92,17.1,NA
St. Vincent and the Grenadines,VCT,NA,NA,100,5.8,NA,NA,22.1,0.4,1.9,0.5,36.5,22
Sudan,SDN,NA,NA,56.5,61.6,NA,91.6,54.1,0.2,0.3,2.8,NA,30.9
Suriname,SUR,NA,NA,96.8,24.9,NA,7.3,25.3,NA,3.6,8.5,6.1,48.9
Sweden,SWE,99.9,93.4,100,53.2,3.3,NA,6.1,19.1,4.5,15,1.1,95.5
Switzerland,CHE,95.5,99.5,100,25.3,3.4,NA,10.3,16.4,4.3,9.7,0.7,89.7
Syrian Arab Republic,SYR,NA,NA,89.6,0.5,0,19.3,43.7,NA,1.6,0.7,NA,34.3
Tajikistan,TJK,47.9,NA,99.3,44.7,0.1,NA,43.4,6.3,0.6,22.3,NA,22
Tanzania,TZA,NA,25.4,32.8,85.7,0.5,50.7,28.4,23.1,0.2,31,7,25
Thailand,THA,NA,NA,100,22.9,0.6,25,26.3,14,4.6,12.5,3.5,52.9
Timor-Leste,TLS,NA,NA,80.4,18.2,NA,NA,20,-14.6,0.4,4.4,3.9,27.5
Togo,TGO,NA,NA,48,71.3,0.3,51.2,37.1,-7.5,0.4,21.8,NA,12.4
Tonga,TON,NA,NA,98,1.9,NA,NA,11,NA,1.2,1.5,1,41.2
Trinidad and Tobago,TTO,NA,NA,100,0.3,0.1,NA,24.2,NA,34,2,30.9,77.3
Tunisia,TUN,92.7,78.1,100,12.6,0.6,8,38.5,-9.6,2.6,5.2,3,64.2
Turkey,TUR,NA,65.2,100,13.4,0.9,11.9,44.5,11.4,4.5,0.2,4.3,64.7
Turkmenistan,TKM,93.9,NA,100,0,NA,NA,21.7,NA,12.5,3.2,NA,21.3
Turks and Caicos Islands,TCA,NA,NA,100,0.6,NA,NA,NA,NA,5.8,0.4,5.9,NA
Tuvalu,TUV,NA,6.3,100,0,NA,NA,NA,NA,1,0,18.6,49.3
Uganda,UGA,7.1,NA,22,89.1,0.2,53.6,51.9,-9.5,0.1,16.1,10.8,23.7
Ukraine,UKR,92,68.5,100,4.1,0.6,NA,20.6,3.5,5,3.9,6.2,58.9
United Arab Emirates,ARE,NA,96.3,100,0.1,0.9,NA,40.5,NA,22.9,15,0.7,94.8
United Kingdom,GBR,100,97.8,100,8.7,1.7,NA,10.5,5.5,6.5,28.8,1,94.6
United States,USA,99,90,100,8.7,2.7,NA,7.4,6.1,16.5,26.3,5,87.3
Uruguay,URY,NA,NA,100,58,0.4,NA,9.2,10.2,2,2.3,8.5,68.3
Uzbekistan,UZB,58.9,NA,100,3,0.2,NA,27.8,NA,3.4,3.4,1.6,52.3
Vanuatu,VUT,44.1,NA,62.8,36.1,NA,NA,11.6,20.8,0.6,0.1,NA,25.7
"Venezuela, RB",VEN,NA,23.8,100,12.8,0.3,NA,16.8,7.2,6.2,36.9,56.3,72
Vietnam,VNM,NA,NA,100,35,0.4,27.2,30.2,13.4,1.8,2.9,NA,58.1
"Yemen, Rep.",YEM,NA,NA,79.2,2.3,NA,60.8,50.1,NA,0.9,0.6,6.7,26.7
Zambia,ZMB,NA,NA,40.3,88,NA,54,27.4,9.2,0.3,37.9,5.3,27.9
Zimbabwe,ZWE,NA,NA,40.4,81.8,NA,25.1,21.7,-22.2,0.9,27.2,6.7,27.1
